Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
taming_shrew.txt            timon.txt                   0.00051                     0.00154                     
taming_shrew.txt            lll.txt                     0.00057                     0.00189                     
taming_shrew.txt            comedy_errors.txt           0.00043                     0.00114                     
taming_shrew.txt            richardii.txt               0.00055                     0.00174                     
taming_shrew.txt            julius_caesar.txt           0.00051                     0.00140                     
taming_shrew.txt            allswell.txt                0.00054                     0.00168                     
taming_shrew.txt            winters_tale.txt            0.00057                     0.00186                     
taming_shrew.txt            1henryvi.txt                0.00060                     0.00181                     
taming_shrew.txt            tempest.txt                 0.00050                     0.00147                     
taming_shrew.txt            cymbeline.txt               0.00075                     0.00247                     
taming_shrew.txt            othello.txt                 0.00061                     0.00190                     
taming_shrew.txt            titus.txt                   0.00051                     0.00163                     
taming_shrew.txt            much_ado.txt                0.00047                     0.00137                     
taming_shrew.txt            1henryiv.txt                0.00055                     0.00180                     
taming_shrew.txt            merchant.txt                0.00052                     0.00151                     
taming_shrew.txt            macbeth.txt                 0.00051                     0.00155                     
taming_shrew.txt            john.txt                    0.00053                     0.00168                     
taming_shrew.txt            2henryvi.txt                0.00064                     0.00239                     
taming_shrew.txt            2henryiv.txt                0.00058                     0.00195                     
taming_shrew.txt            henryv.txt                  0.00062                     0.00227                     
taming_shrew.txt            merry_wives.txt             0.00053                     0.00154                     
taming_shrew.txt            midsummer.txt               0.00048                     0.00137                     
coriolanus.txt              3henryvi.txt                0.00063                     0.00175                     
coriolanus.txt              twelfth_night.txt           0.00054                     0.00164                     
coriolanus.txt              romeo_juliet.txt            0.00066                     0.00207                     
coriolanus.txt              lear.txt                    0.00073                     0.00219                     
coriolanus.txt              hamlet.txt                  0.00072                     0.00243                     
coriolanus.txt              measure.txt                 0.00057                     0.00174                     
coriolanus.txt              asyoulikeit.txt             0.00057                     0.00159                     
coriolanus.txt              troilus_cressida.txt        0.00069                     0.00227                     
coriolanus.txt              taming_shrew.txt            0.00055                     0.00153                     
coriolanus.txt              henryviii.txt               0.00061                     0.00176                     
coriolanus.txt              two_gentlemen.txt           0.00050                     0.00130                     
coriolanus.txt              cleopatra.txt               0.00064                     0.00191                     
coriolanus.txt              pericles.txt                0.00056                     0.00153                     
coriolanus.txt              richardiii.txt              0.00066                     0.00205                     
coriolanus.txt              timon.txt                   0.00058                     0.00160                     
coriolanus.txt              lll.txt                     0.00061                     0.00185                     
coriolanus.txt              comedy_errors.txt           0.00046                     0.00118                     
coriolanus.txt              richardii.txt               0.00062                     0.00176                     
coriolanus.txt              julius_caesar.txt           0.00055                     0.00137                     
coriolanus.txt              allswell.txt                0.00061                     0.00172                     
coriolanus.txt              winters_tale.txt            0.00063                     0.00186                     
coriolanus.txt              1henryvi.txt                0.00062                     0.00189                     
coriolanus.txt              tempest.txt                 0.00055                     0.00149                     
